TIPO,MARCA,EQUIPO,NO_SERIE,DESCRIPCION,PROPIEDAD,ESTATUS
6,5,KXNT551X,OAATJ130505,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 3468,FHL00P2,LAPTOP DELL VOSTRO 3468 W10P CI3-7020U 8GB 1TB DVDRW 1TWTY,ARRENDADO,ACTIVO
3,1,VOSTRO 5471,6TLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
4,3,L310,VHKK046087,,PROPIO,ACTIVO
2,8,V206HQL,MMLY6AM00154115F128504,,PROPIO,ACTIVO
2,8,V206HQL,MMLY6AM00154115F008504,19.5,PROPIO,ACTIVO
1,1,VOSTRO 3470,2W2RJV2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,5FCC00964AKKU,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
3,1,VOSTRO 3468,HHBH1P2,PORTATIL DELL VOTRO 14-3468 PROCESADOR CI5 7200U DD 1TB RAM 8GB W10P,ARRENDADO,ACTIVO
1,12,NA,2340000000000,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz Disco Duro 500 gb 4 gb RAM Windows 7 ,PROPIO,ACTIVO
2,10,S19410N,ZT16H9NB500710N,,PROPIO,ACTIVO
6,5,KXNT551X,9KBTI128541,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 5471,2WLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
1,13,ACTIVE COOL,DSE1249JRZ,Procesador: Intel Core I5-4460 CPU @ 3.20 GHz 4 GB en RAM 500 GB en DD,PROPIO,ACTIVO
1,1,VOSTRO 3470,CQYXQX2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,B494CX2 / CN-07XJH5-FCC00-964-C8HU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HWMGZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,G694CX2\CN-07XJH5-FCC00-964-C9RU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
3,1,INSPIRON 5458,DC1ZQ32,"Laptop DELL INSPIRON 14-5458 : Procesador Intel Core i5-5200U (hasta 2.7 GHz) Memoria de 4 GB DDR3L D. D. de 1TB Pantalla LED de 14"" Video Intel HD Graphics 5500 DVD±R/RW Red 802.11ac/b/g/n Bluetooth 4.0 Windows 8.1 (64 Bits).",PROPIO,ACTIVO
3,1,VOSTRO 5471,2YLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,F8NWZS2,COMPUTADORA DELL VOSTRO 3470 CI3 810 3.6GHZ /4GB /1TB / NO MONITOR /DVDRW /  W10P,ARRENDADO,ACTIVO
2,1,E2016HV,CN-07XJH5FCC00-8BMA-DLU,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
1,1,VOSTRO 3470,CVCZQX2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,8,V206HQL,MMLY6AM00154115F138504,,PROPIO,ACTIVO
3,1,LATITUDE 3410,6XBTC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
3,1,VOSTRO 5471,6YLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HNPDZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,5184CX2 / 5FCC00964C9NU,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,1,OPTIPLEX 3080,B64MK93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,ACTIVO
2,1,E2020H,7RHGF23 / CN-08RWX5-QDC00-0AU-37ZI-A03,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HNCKZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,5FCC00964AL1U,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
3,1,VOSTRO 5471,1XLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,STOCK
3,1,VOSTRO 3459,JRSGWF2,VOSTRO 3459 CORE I5-6200U 2.3GHz 8GB RAM 1TB HD DVDRW 14.0in LED,PROPIO,ACTIVO
6,5,KXNT551X,9DATI120328,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 3458,5STDQC2,VOSTRO 3458 CORE I5-5005U 1.7GHz8GB RAM 1TB HD 14.0in LED,PROPIO,ACTIVO
6,5,KXNT551X,OAATJ130444,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
1,1,VOSTRO 3470,F6S00T2,COMPUTADORA DELL VOSTRO 3470 CI3 810 3.6GHZ /4GB /1TB / NO MONITOR /DVDRW /  W10P,ARRENDADO,ACTIVO
2,1,E2016HV,1XNQ4T2 / CN-07XJH5-FCC00-914-DG3U-A05,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
3,1,INSPIRON N4110,8KPYRS1,INSPIRON N4110 Core I3-2350M 2.3GHz 4GB RAM 500GB HD 14.Oin LED,PROPIO,ACTIVO
2,15,MG2016,S2016160600143,,PROPIO,ACTIVO
1,6,280 G2SFF Business,8CG822CF1B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz  4 GB RAM 1 tb disco duro,PROPIO,ACTIVO
1,1,OPTIPLEX 3080,B66GK93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,ACTIVO
2,1,E2020H,GMJGF23,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,ACTIVO
4,3,FX-890,NZBY080066,,PROPIO,ACTIVO
1,1,OPTIPLEX 3080,B66PK93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,ACTIVO
2,1,E2020H,G9GGF23,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,ACTIVO
1,1,OPTIPLEX 3080,411HK93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,ACTIVO
2,1,E2020H,BMHGF23,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,ACTIVO
3,1,VOSTRO 3468,591NBL2,"DELL VOSTRO 3468 CI3 6006U 8GB RAM 1TB DD DVD 14""",ARRENDADO,ACTIVO
2,8,V206HQL,MMLY6AM00154115F178504,,PROPIO,ACTIVO
9,20,CELSIUS M,YBWM018650,Microsoft Windows 7 Professional procesador Intel(R) Pentium(R) 4 CPU 3.00GHz 8 gb RAM Disco Duro de 1 tb 500 gb 500 gb.,PROPIO,ACTIVO
4,3,L310,VHKK043407,,PROPIO,ACTIVO
3,1,VOSTRO 3468,D71NBL2,"DELL VOSTRO 3468 CI3 6006U 8GB RAM 1TB DD DVD 14""",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,2VFPJV2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,2694CX2 / CN-07XJH5-FCC00-964-C9CU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
3,1,LATITUDE 3410,CWDTC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
1,1,OPTIPLEX 3080,B689K93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,STOCK
2,1,E2020H,3GHGF23,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,STOCK
3,1,VOSTRO 5471,31MXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
2,1,E2016HV,C184CX2/5FCC00964AKTU,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HMRLZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
3,1,VOSTRO 3459,HTYFWF2,VOSTRO 3459 CORE I5-6200U 2.3GHz 8GB RAM 1TB HD DVDRW 14.0in LED,PROPIO,ACTIVO
6,5,KXNT551X,OCBTJ132232,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 5471,JVLXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
6,5,KXNT551X,OAATJ130244,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 3468,6JMTDL2,"DELL VOSTRO 3468 CI5 7200U 8GB RAM 1TB DD DVD 14""",ARRENDADO,ACTIVO
2,10,S19D300NY,02CSHCLFB05308K,"MONITOR SAMSUNG LSD LS19D300 19.5""",PROPIO,ACTIVO
1,1,VOSTRO 3470,JDXXQX2,DESKTOP DELL VOSTRO 3470 CI5-8400 4 GB RAM 1TB DD W10PRO 64 BIT,ARRENDADO,ACTIVO
2,1,E2016HV,DYCPCX2 / CN-07XJH5-FCC00-96H-E40U-A05,"MONITOR LED DELL 20 E2016HV/ 9.5"" 1600X900/ CABLE VGA 3 WTY",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HN4HZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,8,V206HQL,MMLY6AM0015411623D8504,,PROPIO,ACTIVO
1,1,VOSTRO 3470,F7220T2,COMPUTADORA DELL VOSTRO 3470 CI3 810 3.6GHZ /4GB /1TB / NO MONITOR /DVDRW /  W10P,ARRENDADO,ACTIVO
2,1,E2016HV,6M35GS2 / CN-07XJH5-FCC00-8BMA-D2U,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
6,5,KXNT551X,ODATJ132580,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,LATITUDE 3410,D85QC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
2,8,K192HQL,MMT0AAA001422092B64202,,PROPIO,ACTIVO
1,1,VOSTRO 3470,4KDLZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,H794CX2 / CN-07XJH5-FCC00-964-CACU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,16,NI,NI,,PROPIO,ACTIVO
2,21,NI,M7A47CAV003780,,PROPIO,ACTIVO
4,6,Laserjet 1200,CNB1106354,,PROPIO,ACTIVO
3,1,VOSTRO 3468,2CX7WJ2,Procesador Intel Core i3-6006U 2.0 GHz 8GB RAM 1TB HD DVDRW GbNIC ,PROPIO,ACTIVO
4,6,LASERJET PRO M402N,PHBHL48085,,PROPIO,ACTIVO
1,1,VOSTRO 3470,CRXZQX2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,1494CX2,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,HWVKZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,STOCK
2,1,E2016HV,6494CX2,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,STOCK
4,6,LASSERJET PRO MSP125 NW,CNB9J465TP,IMPRESORA MULTIFUNCIONALM LASSERJET PRO M125 Y M126,PROPIO,STOCK
3,1,LATITUDE 3410,FSBTC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
4,2,DCP-L2540DW,U63885F1N871865,CONEXION DE FORMA INALAMBRICA O MEDIANTE ETHERNET DIMENSIONES 40 x 39 x 31 cm VOLUMEN DE IMPRESIÓN MENSUAL 250 A 2.000 PAGINAS,PROPIO,ACTIVO
1,1,VOSTRO 3470,2VGQJV2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
4,3,FX-890,NZBY087325,,PROPIO,ACTIVO
2,1,E2016HV,F794CX2,,ARRENDADO,ACTIVO
3,1,VOSTRO 3468,HQ0JWN2,PORTATIL DELL VOTRO 14-3468 PROCESADOR CI5 7200U DD 1TB RAM 8GB W10P,ARRENDADO,ACTIVO
4,3,FX-890,NZBY090537,IMPRESORA DE MATRIZ DE PUNTOS,PROPIO,ACTIVO
4,22,ECOSYS M6530CDN,,,ARRENDADO,ACTIVO
2,6,V203p ,6CM6381PJG,V203p 19.53in LED IPS LCD Monitor 0.30mm PP 1440x900@60Hz,PROPIO,ACTIVO
6,5,KXNT551X,9KBTI128429,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,LATITUDE 3410,CVBTC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
3,1,VOSTRO 5471,B9MXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,4KWDZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,J494CX2 / CN-07XJH5-FCC00-964-C8PU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
4,22,ECOSYS P2040dw,VD29Z45821,,ARRENDADO,ACTIVO
4,3,FX-890,NZBY138178,,PROPIO,ACTIVO
4,19,ZT220,,,PROPIO,ACTIVO
1,1,VOSTRO 3470,F8F20T2,COMPUTADORA DELL VOSTRO 3470 CI3 810 3.6GHZ /4GB /1TB / NO MONITOR /DVDRW /  W10P,ARRENDADO,ACTIVO
2,1,E2016HV,5FCC008BMAWVU,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
4,22,M3040idn,LSD7725884,Multifuncional Kyocera ECOSYS M3040idn Blanco y Negro Láser Print/Scan/Copy/Fax,ARRENDADO,ACTIVO
3,1,VOSTRO 3459,C6ZGWF2,VOSTRO 3459 CORE I5-6200U 2.3GHz 8GB RAM 1TB HD DVDRW 14.0in LED,PROPIO,ACTIVO
6,5,KXNT551X,OAATJ130524,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 3468,GZW3LJ2,"DELL VOSTRO 3468 CI5 7200U 8GB RAM 1TB DD DVD 14""",PROPIO,ACTIVO
2,8,V206HQL,MMLY6AM001506013478504,,PROPIO,ACTIVO
3,1,LATITUDE 3540,BVMCW32,Latitude 3540 Core I3-4030U 1.90GHz 8GB RAM 500 HD,PROPIO,ACTIVO
6,5,KXNT551X,ODATJ132522,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 3468,DFCH1P2,PORTATIL DELL VOTRO 14-3468 PROCESADOR CI5 7200U DD 1TB RAM 8GB W10P,ARRENDADO,ACTIVO
1,1,VOSTRO 3470,JFVTQX2,DESKTOP DELL VOSTRO 3470 CI5-8400 4 GB RAM 1TB DD W10PRO 64 BIT,ARRENDADO,ACTIVO
2,1,E2016HV,BFCPCX2 / CN-07XJH5-FCC00-96H-DT3U-A05,"MONITOR LED DELL 20 E2016HV/ 9.5"" 1600X900/ CABLE VGA 3 WTY",ARRENDADO,ACTIVO
6,5,KXNT551X,9KBTI128536,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
1,1,OPTIPLEX 3080,B627K93,Computadora Dell optiplex 3000 3080 intel core i5 10a Gen i5 10500 Hexa core (6 core) 3.10 GHZ 8 GB Ram DDR4 SDRAM 1TB HDD formato pequeño negro windows 10 Pro 64 bit intel DDR4 SDRAM fabadora DVD español teclado 200W ,ARRENDADO,ACTIVO
2,1,E2020H,DZFGF23,"Monitor Dell E2020H 19.5"" LED 1600X900 VGA/DP 3WTY (INCLUYE CABLE)",ARRENDADO,ACTIVO
2,10,S19C150,ZYGFH4LD902784R,NI,PROPIO,ACTIVO
1,12,NA,NV,,PROPIO,ACTIVO
1,1,VOSTRO 3470,HWJMZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,J084CX2 / CN-07XJH5-FCC00-964-AKEU-A05,MONITOR LED DELL 20 E2016HV/ 19.5¨ 1600x900/ 60 HZ /SOLO TIENE CONEXIO VGA,ARRENDADO,ACTIVO
3,1,VOSTRO 5471,H1MXM42,"LAPTOP DELL VOSTRO 5471 14"" FULL HD INTEL CORE I5-8250U 1.60GHZ 4GB 16GB OPTANE  1TB W10PRO 64-BITS",ARRENDADO,ACTIVO
6,5,KXNT551X,OAATJ130197,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
1,23,GB-300,NV,Microsoft Windows 7 Professional Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz RAM 4gb  Disco Duro 500 gb.,PROPIO,ACTIVO
2,8,V206HQL,MMLY6AM001541162348504,,PROPIO,ACTIVO
1,1,VOSTRO 3470,D3NDZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,D184CX2 / CN-07XJH5-FCC00-964-AKUU-A05,"MONITOR LED DELL 20 E2016HV / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",PROPIO,ACTIVO
